2025-07-10 17:49:38 | INFO     | vehicle_detection | 🚀 Vehicle Detection Server
2025-07-10 17:49:43 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.191s/frame (0.763s total)
2025-07-10 17:49:43 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.038s/frame (0.151s total)
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8m.pt results:
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.191s (5.2 FPS)
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.038s (26.6 FPS)
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer | 🎯 Final Selection:
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    Model: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection/model/yolov8n.pt
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    Device: MPS
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    Performance: 0.016s/frame (62.5 FPS)
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer | 📊 Complete benchmark results:
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    yolov8n.pt: CPU=1.3fps, MPS=62.5fps
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    yolov8s.pt: CPU=9.8fps, MPS=39.2fps
2025-07-10 17:49:44 | INFO     | vehicle_detection.device_optimizer |    yolov8m.pt: CPU=5.2fps, MPS=26.6fps
2025-07-10 17:49:44 | INFO     | vehicle_detection.app | 🔍 Setting up vehicle detector...
2025-07-10 17:49:44 | INFO     | vehicle_detection.detector | 🔧 Detector initialized: MPS
2025-07-10 17:49:44 | INFO     | vehicle_detection.detector | 📋 Vehicle classes: car, truck, bus, motorcycle, bicycle
2025-07-10 17:49:44 | INFO     | vehicle_detection.app | 📡 Starting video broadcaster...
2025-07-10 17:49:44 | INFO     | vehicle_detection.broadcaster | 📹 Video properties: 1280x720, 25.0fps, 7737 frames
2025-07-10 17:49:44 | INFO     | vehicle_detection.broadcaster | 🎥 Broadcaster initialized: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection/resources/1.mp4
2025-07-10 17:49:44 | INFO     | vehicle_detection.broadcaster | 📊 Batch size: 2
2025-07-10 17:49:44 | INFO     | vehicle_detection.broadcaster | ▶️  Broadcasting started
2025-07-10 17:49:44 | INFO     | vehicle_detection.app | ✅ Server startup complete!
2025-07-10 17:49:44 | INFO     | vehicle_detection.app | 🌐 Access the server at: http://0.0.0.0:1234
2025-07-10 17:49:44 | INFO     | vehicle_detection.app | 🔗 WebSocket endpoint: ws://0.0.0.0:1234/ws
2025-07-10 17:49:44 | INFO     | vehicle_detection.app | 📊 Health check: http://0.0.0.0:1234/health
2025-07-10 17:49:44 | INFO     | vehicle_detection.app | 🎮 Control endpoints:
2025-07-10 17:49:44 | INFO     | vehicle_detection.app |    • POST /control/playback - Video playback control
2025-07-10 17:49:44 | INFO     | vehicle_detection.app |    • POST /control/detection - Detection settings
2025-07-10 17:49:44 | INFO     | vehicle_detection.app |    • POST /control/broadcast - Broadcasting control
2025-07-10 17:49:44 | INFO     | vehicle_detection.app |    • POST /control/device - Device switching
2025-07-10 17:49:44 | INFO     | vehicle_detection.app |    • POST /config - Configuration updates
2025-07-10 17:49:44 | INFO     | vehicle_detection.broadcaster | 🚀 Starting broadcast loop
2025-07-10 17:49:44 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.282s for 2 frames
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Frames processed: 82
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 8
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 8.3
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 8.2
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.120s
2025-07-10 17:49:49 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 24.5
2025-07-10 17:49:50 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.202s for 2 frames
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Frames processed: 174
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 13
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 8.9
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 8.7
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.112s
2025-07-10 17:49:54 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 24.0
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Frames processed: 284
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 12
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.5
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.3
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.095s
2025-07-10 17:49:59 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 25.8
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Frames processed: 392
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 13
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 11.2
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 11.0
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.089s
2025-07-10 17:50:04 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 28.4
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Frames processed: 498
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 17
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.9
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.7
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.092s
2025-07-10 17:50:09 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 29.7
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Frames processed: 600
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 17
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.6
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.4
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.094s
2025-07-10 17:50:14 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 33.8
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Frames processed: 708
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 15
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.8
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.6
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.092s
2025-07-10 17:50:19 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 36.6
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Frames processed: 796
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 18
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.1
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.0
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.099s
2025-07-10 17:50:24 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 37.7
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Frames processed: 890
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 16
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 9.5
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.3
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.105s
2025-07-10 17:50:29 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 37.0
2025-07-10 17:50:31 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.268s for 2 frames
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Frames processed: 982
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 15
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 9.6
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.5
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.104s
2025-07-10 17:50:34 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 32.3
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1082
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 13
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 9.8
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.6
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.102s
2025-07-10 17:50:39 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 30.6
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1190
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 12
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.7
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.5
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.093s
2025-07-10 17:50:44 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 27.0
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1294
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 20
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.9
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.7
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.091s
2025-07-10 17:50:49 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 26.9
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1392
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 21
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.3
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.1
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.097s
2025-07-10 17:50:54 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 35.7
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1498
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 21
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.4
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.2
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.096s
2025-07-10 17:50:59 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 37.5
2025-07-10 17:51:04 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.243s for 2 frames
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1596
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 21
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 10.4
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 10.2
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.097s
2025-07-10 17:51:05 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 34.9
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1688
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 21
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 9.7
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 9.5
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.104s
2025-07-10 17:51:10 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 38.2
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1774
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 25
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 9.0
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 8.8
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.111s
2025-07-10 17:51:15 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 42.8
2025-07-10 17:51:18 | WARNING  | vehicle_detection.detector | ⚠️  Slow detection: 0.220s for 2 frames
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster | 📊 Performance Stats:
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Device: MPS
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Frames processed: 1858
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Current vehicles: 25
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Connected clients: 0
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Detection FPS: 8.9
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Broadcast FPS: 8.7
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Avg detection time: 0.113s
2025-07-10 17:51:20 | INFO     | vehicle_detection.broadcaster |    Avg vehicles/frame: 45.3
2025-07-10 17:51:25 | INFO     | vehicle_detection.app | 🛑 Shutting down server...
2025-07-10 17:51:25 | INFO     | vehicle_detection.broadcaster | ⏹️  Stopping broadcaster...
2025-07-10 17:51:25 | INFO     | vehicle_detection.broadcaster | 🛑 Broadcast loop stopped
2025-07-10 17:51:25 | INFO     | vehicle_detection.broadcaster | ✅ Broadcaster stopped
2025-07-10 17:51:25 | INFO     | vehicle_detection.app | ✅ Server shutdown complete
2025-07-10 18:45:11 | INFO     | vehicle_detection | 🚀 Vehicle Detection Server
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 🌟 Vehicle Detection Server
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | ==================================================
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 📍 URL: http://0.0.0.0:1234
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 🎯 Vehicle Classes: car, truck, bus, motorcycle, bicycle
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 🔧 Configuration: type
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | ==================================================
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 🚀 Starting M1 Pro Vehicle Detection Server...
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 📁 Video path: /Users/alim/Documents/GUB Final Project/Ai-Traffic-Management/detection/resources/1.mp4
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 🎯 Target FPS: 30
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 🔧 Debug mode: False
2025-07-10 18:45:11 | INFO     | vehicle_detection.app | 🧠 Initializing AI model...
2025-07-10 18:45:11 | INFO     | vehicle_detection.device_optimizer | 🚀 Starting device optimization...
2025-07-10 18:45:11 | INFO     | vehicle_detection.device_optimizer | ✓ MPS optimizations applied
2025-07-10 18:45:11 | INFO     | vehicle_detection.device_optimizer | 📋 Generated 4 test frames
2025-07-10 18:45:11 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8n.pt
2025-07-10 18:45:11 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-07-10 18:45:13 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.574s/frame (2.295s total)
2025-07-10 18:45:13 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.018s/frame (0.073s total)
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8n.pt results:
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.574s (1.7 FPS)
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.018s (55.0 FPS)
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on CPU
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 🏆 New best: yolov8n.pt on MPS
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8s.pt
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.119s/frame (0.475s total)
2025-07-10 18:45:14 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-07-10 18:45:15 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.027s/frame (0.108s total)
2025-07-10 18:45:15 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8s.pt results:
2025-07-10 18:45:15 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.119s (8.4 FPS)
2025-07-10 18:45:15 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.027s (36.9 FPS)
2025-07-10 18:45:15 | INFO     | vehicle_detection.device_optimizer | 🧠 Testing model: yolov8m.pt
2025-07-10 18:45:15 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking CPU...
2025-07-10 18:45:16 | INFO     | vehicle_detection.device_optimizer | 📊 CPU: 0.236s/frame (0.945s total)
2025-07-10 18:45:16 | INFO     | vehicle_detection.device_optimizer | 🔍 Benchmarking MPS...
2025-07-10 18:45:16 | INFO     | vehicle_detection.device_optimizer | 📊 MPS: 0.038s/frame (0.153s total)
2025-07-10 18:45:16 | INFO     | vehicle_detection.device_optimizer | 📊 yolov8m.pt results:
2025-07-10 18:45:16 | INFO     | vehicle_detection.device_optimizer |    CPU: 0.236s (4.2 FPS)
2025-07-10 18:45:16 | INFO     | vehicle_detection.device_optimizer |    MPS: 0.038s (26.2 FPS)
2025-07-10 18:45:16 | INFO     | vehicle_detection.device_optimizer | 🎯 Final Selection:
